number,position,name,club,age,height,weight,country,active,twitter
27,F,Luke Moore,Toronto FC,29,5' 9",167,England,Active,No Twitter
11,M,Javier Morales,Real Salt Lake,35,5' 9",150,Argentina,Active,javi_mo11
77,M,Pedro Morales,Vancouver Whitecaps FC,29,5' 11",170,Chile,Active,No Twitter
5,D,Ashtone Morgan,Toronto FC,24,5' 9",156,Canada,Active,ashtone_m
2,D,Justin Morrow,Toronto FC,27,5' 9",153,USA,Active,JMo_row_15
19,M,Luke Mulholland,Real Salt Lake,26,5' 9",150,England,Active,No Twitter
14,F,Patrick Mullins,New York City FC,23,6' 1",175,USA,Active,p_mullins_7
,M,Soni Mustivar,Sporting Kansas City,25,5' 10",170,France,Active,billydougie
7,D,Chance Myers,Sporting Kansas City,27,6',165,USA,Active,CR_Myers
6,M,Paulo Nagamura,Sporting Kansas City,31,5' 8",155,Brazil,Active,paulinhonag
6,F/M,Darlington Nagbe,Portland Timbers,24,5' 9",165,Liberia,Active,darlingtonnagbe
17,M,Michael Nanchoff,Portland Timbers,26,5' 8",150,USA,Active,No Twitter
27,M/F,Lamar Neagle,Seattle Sounders FC,27,5' 11",165,USA,Active,LamarNeagle
24,M,Lewis Neal,Orlando City SC,33,5' 11",155,England,Active,No Twitter
16,D,John Neeskens,Colorado Rapids,21,6' 1",160,USA,Active,No Twitter
32,F,Adam Nemec,New York City FC,29,6' 3",185,Slovakia,Active,No Twitter
9,F,Krisztian Nemeth,Sporting Kansas City,26,5' 11",165,Hungary,Active,No Twitter
4,M,Steve Neumann,New England Revolution,23,6',165,USA,Active,neumannrevs4
24,M/F,Lee Nguyen,New England Revolution,28,5' 8",150,USA,Active,LeeNguyen24
30,GK,Kristian Nicht,Montreal Impact,32,6' 4",225,Germany,Active,No Twitter
5,M,Vincent Nogueira,Philadelphia Union,27,5' 7",140,France,Active,No Twitter
14,F,Patrick Nyarko,Chicago Fire,29,6',160,Ghana,Active,PattyBerron
17,M,Sanna Nyassi,San Jose Earthquakes,26,5' 8",145,Gambia,Active,asnyassi16
27,D,Shane O'Neill,Colorado Rapids,21,6' 2",190,Ireland,Active,Shaneone27
21,D,Jimmy Ockford,Seattle Sounders FC,22,6' 1",185,USA,Active,jockford
7,F,Dominic Oduro,Montreal Impact,29,6',160,Ghana,Active,freakyfast8
,F,Sean Okoli,New England Revolution,22,6' 1",182,USA,Active,AskAboutUgo
5,M/D,Amobi Okugo,Orlando City SC,23,6',175,USA,Active,amobisays
,D,Boyd Okwuonu,Real Salt Lake,21,5' 9",170,USA,Active,OC_Okwuonu
4,D,Jámison Olave,Real Salt Lake,33,6' 3",210,Colombia,Active,No Twitter
3,D,Ike Opara,Sporting Kansas City,25,6' 2",180,USA,Active,IkeOpara
6,D,Kofi Opare,D.C. United,24,6' 2",190,Canada,Active,kofiopare6
21,M,Jonathan Osorio,Toronto FC,22,5' 9",161,Canada,Active,OsoJ92
1,GK,David Ousted,Vancouver Whitecaps FC,30,6' 4",195,Denmark,Active,No Twitter
,D,Ambroise Oyongo,Montreal Impact,23,5' 9",150,Cameroon,Active,No Twitter
,M,Wellington Paeckart,Real Salt Lake,25,5' 6",152,Brazil,Active,No Twitter
5,D/M,Lovel Palmer,Chicago Fire,30,5' 10",160,Jamaica,Active,palmerboy30
2,D,Erik Palmer-Brown,Sporting Kansas City,17,6' 1",175,USA,Active,ErikBrown14
23,D,Norberto Paparatto,Portland Timbers,31,6' 3",180,Argentina,Active,No Twitter
10,M,Marco Pappa,Seattle Sounders FC,27,5' 10",155,Guatemala,Active,marcopappas16
4,D,Michael Parkhurst,Columbus Crew SC,31,5' 11",159,USA,Active,MFparkhurst
77,F,Kévin Parsemain,Seattle Sounders FC,27,5' 10",165,Martinique,Active,No Twitter
9,F,Martin Paterson,Orlando City SC,27,5' 10",141,England,Active,No Twitter
20,D,Taylor Peay,Portland Timbers,23,6' 2",185,USA,Active,TPeay5
18,GK,Jaime Penedo,LA Galaxy,33,6',160,Panama,Active,No Twitter
,D,Jeanderson Pereira,Portland Timbers,23,5' 11",160,Brazil,Active,No Twitter
7,F,Blas Pérez,FC Dallas,33,6' 1",174,Panama,Active,superraton7
15,M,Diego Pérez,Uruguay,34,5' 10",179,Uruguay,Active,No Twitter
11,M,Matías Pérez García,San Jose Earthquakes,30,5' 5",145,Argentina,Active,No Twitter
,GK,Troy Perkins,Seattle Sounders FC,33,6' 2",190,USA,Active,No Twitter
24,D,Damien Perquis,Toronto FC,30,6' 1",165,France,Active,damienperquis24
55,D,Damien Perrinelle,New York Red Bulls,31,6' 1",170,France,Active,No Twitter
37,F,Jacob Peterson,Sporting Kansas City,29,5' 10",165,USA,Active,jacob__peterson
27,M,Zach Pfeffer,Philadelphia Union,20,5' 8",145,USA,Active,zachpfeffer_27
,D,Demar Phillips,Real Salt Lake,31,5' 6",132,Jamaica,Active,No Twitter
10,M,Ignacio Piatti,Montreal Impact,30,5' 11",169,Argentina,Active,No Twitter
80,M,Jean-Baptiste Pierazzi,San Jose Earthquakes,29,6' 1",165,France,Active,JBPierazzi8
8,M,Gonzalo Pineda,Seattle Sounders FC,32,5' 10",166,Mexico,Active,No Twitter
16,D,Pablo Pintos,San Jose Earthquakes,27,6',160,Uruguay,Active,No Twitter
22,M,Lucas Pittinari,Colorado Rapids,23,5' 10",168,Argentina,Active,No Twitter
8,F,Joao Plata,Real Salt Lake,22,5' 2",135,Ecuador,Active,JoaoPlata10
88,M,Kwadwo Poku,New York City FC,22,6' 1",185,Ghana,Active,No Twitter
,D,Matt Polster,Chicago Fire,21,6',170,USA,Active,No Twitter
13,M/F,Chris Pontius,D.C. United,27,6',170,USA,Active,ChrisPontius13
39,F,Cameron Porter,Montreal Impact,21,6' 1",175,USA,Active,No Twitter
2,D,Alvas Powell,Portland Timbers,20,6',165,Jamaica,Active,No Twitter
8,M,Dillon Powers,Colorado Rapids,24,5' 11",170,United States,Active,powerhour5
27,D,Rafael Ramos,Orlando City SC,20,5' 7",148,Portugal,Active,No Twitter
29,D,Tommy Redding,Orlando City SC,18,6' 2",175,USA,Active,No Twitter
15,D,Dylan Remick,Seattle Sounders FC,23,6',165,USA,Active,dylanremick15
14,M/D,Nigel Reo-Coker,Montreal Impact,30,5' 9",170,England,Active,No Twitter
18,GK,Kyle Reynish,New York Red Bulls,31,6' 3",193,USA,Active,kylereynish24
15,M/F,Pedro Ribeiro,Orlando City SC,24,6' 4",208,Brazil,Active,pedronalribeiro
1,GK,Donovan Ricketts,Orlando City SC,37,6' 4",215,Jamaica,Active,No Twitter
24,D,Liam Ridgewell,Portland Timbers,30,6' 2",175,England,Active,liam_ridgewell
18,G,Nick Rimando,Real Salt Lake,35,5' 9",184,USA,Active,NickRimando
21,M,Chris Ritter,Chicago Fire,24,6' 2",190,USA,Active,No Twitter
11,M,Carlos Rivas,Orlando City SC,20,5' 8",150,Colombia,Active,No Twitter
29,F,Octavio Rivero,Vancouver Whitecaps FC,23,6' 2",180,Uruguay,Active,No Twitter
40,GK,Quillan Roberts,Toronto FC,20,6',200,Canada,Active,QGoalie18
20,D,Jalen Robinson,D.C. United,20,5' 9",145,USA,Active,JayyBird15
31,GK,Luis Robles,New York Red Bulls,30,5' 11",180,USA,Active,No Twitter
35,F,Bryan Róchez,Orlando City SC,20,5' 11",161,Honduras,Active,No Twitter
28,M,Memo Rodriguez,Houston Dynamo,19,5' 8",142,USA,Active,40_jrod
5,D,Raul Rodriguez,Houston Dynamo,27,6',165,Spain,Active,No Twitter
18,D,Diego Rodriguez,Vancouver Whitecaps FC,24,6' 3",182,Uruguay,Active,No Twitter
14,M,Robbie Rogers,LA Galaxy,27,5' 10",165,USA,Active,robbierogers
7,M,Cristian Roldan,Seattle Sounders FC,19,5' 8",165,USA,Active,GetActivee
18,F,Chris Rolfe,D.C. United,32,5' 8",155,USA,Active,ChrisRolfe17
15,F,Andrés Romero,Montreal Impact,25,5' 10",160,Argentina,Active,No Twitter
7,M,Mauro Rosales,Vancouver Whitecaps FC,33,5' 8",165,Argentina,Active,mdr7
5,M,Andy Rose,Seattle Sounders FC,25,6' 2",170,Australia,Active,No Twitter
11,M,Kelyn Rowe,New England Revolution,23,5' 8",150,USA,Active,KRowe210
1,GK,Brian Rowe,LA Galaxy,26,6' 1",185,USA,Active,No Twitter
27,F,Charlie Rugg,LA Galaxy,24,6',175,USA,Active,CharlesNosike
15,F,Álvaro Saborío,Real Salt Lake,32,6',170,Costa Rica,Active,al_saborio
8,M,Mohammed Saeid,Columbus Crew SC,24,5' 7",141,Sweden,Active,mohammedsaeid8
6,M,Shea Salinas,San Jose Earthquakes,28,5' 10",150,USA,Active,SalinasSJ11
10,M,Lloyd Sam,New York Red Bulls,30,5' 8",163,England,Active,@MrLloydSam
27,D,Ethen Sampson,Vancouver Whitecaps FC,21,5' 10",165,South Africa,Active,No Twitter
7,F,Vicente Sánchez,Colorado Rapids,35,5' 7",145,Uruguay,Active,No Twitter
49,F,Devon Sandoval,Real Salt Lake,23,6' 1",185,USA,Active,Big_Dev49
17,F,C.J. Sapong,Philadelphia Union,26,6' 1",185,USA,Active,BigAfrika88
2,D,Kofi Sarkodie,Houston Dynamo,23,5' 9",165,USA,Active,KofiSarkodie8
11,M,Marcelo Sarvas,Colorado Rapids,33,5' 10",155,Brazil,Active,marcelosarvas
,M,Sebastian Saucedo,Real Salt Lake,18,5' 7",145,USA,Active,tian__21
12,GK,Josh Saunders,New York City FC,33,6' 4",210,USA,Active,No Twitter
18,F,Aaron Schoenfeld,Columbus Crew SC,24,6' 4",190,USA,Active,aaronschoenfeld
28,D,Chris Schuler,Real Salt Lake,27,6' 4",185,USA,Active,No Twitter
20,D,Zach Scott,Seattle Sounders FC,34,5' 11",175,USA,Active,zkscott
29,F,Michael Seaton,D.C. United,18,6',180,Jamaica,Active,MichaelSeatonn
18,GK,Chris Seitz,FC Dallas,27,6' 3",236,USA,Active,Seitzy1
17,M,Dillon Serna,Colorado Rapids,20,5' 7",140,USA,Active,SernaDillon
23,D,Luke Shaw,England,19,6' 1",,England,Active,No Twitter
20,M/D,Brek Shea,Orlando City SC,24,6' 3",180,USA,Active,BrekShea
19,F,Khiry Shelton,New York City FC,21,6' 3",185,USA,Active,khiryshelton14
12,F,Mark Sherrod,San Jose Earthquakes,24,6' 3",185,USA,Active,marksherrod2
19,M,Harry Shipp,Chicago Fire,23,5' 9",145,USA,Active,championShipp11
22,GK,Bobby Shuttleworth,New England Revolution,27,6' 2",205,USA,Active,b_shuttle
11,M,Luis Silva,D.C. United,26,5' 11",163,USA,Active,No Twitter
15,D,Seth Sinovic,Sporting Kansas City,28,5' 10",170,USA,Active,ssinovic
44,D,Axel Sjöberg,Colorado Rapids,23,6' 7",210,Sweden,Active,SjobergAxel
33,M,Donnie Smith,New England Revolution,24,5' 11",160,USA,Active,Donnie9Smith
19,M,Blake Smith,Montreal Impact,24,5' 10",150,USA,Active,No Twitter
36,D,Oscar Sorto,LA Galaxy,20,5' 8",155,USA,Active,oscaritosorto13
5,D,Bakary Soumare,Montreal Impact,29,6' 4",190,Mali,Active,BakySoumare
17,M,Ben Speas,Columbus Crew SC,24,5' 8",155,USA,Active,benspeas17
21,M,Zach Steinberger,Houston Dynamo,22,5' 11",172,USA,Active,ZachSteinberger
7,M,Kristinn Steindorsson,Columbus Crew SC,24,5' 8",154,Iceland,Active,kiddistein
26,M,Michael Stephens,Chicago Fire,25,5' 9",155,USA,Active,No Twitter
9,M,Khari Stephenson,San Jose Earthquakes,34,6' 2",185,Jamaica,Active,No Twitter
27,M,John Stertzer,Real Salt Lake,24,6',170,USA,Active,StertzerJohn
23,M,Martin Steuble,Sporting Kansas City,26,5' 8",158,Switzerland,Active,No Twitter
3,D/M,Jordan Stewart,San Jose Earthquakes,32,6',180,England,Active,jordanstewart3
88,M,Leo Stolz,New York Red Bulls,24,5' 11",170,Germany,Active,No Twitter
6,M,Nathan Sturgis,Houston Dynamo,27,5' 10",160,USA,Active,nathansturgis
41,GK,Brad Stuver,Columbus Crew SC,23,6' 3",180,USA,Active,bstuver
26,M,Ben Swanson,Columbus Crew SC,17,5' 6",130,,Active,No Twitter
4,D,Jermaine Taylor,Houston Dynamo,30,5' 10",195,Jamaica,Active,No Twitter
99,F,Tony Taylor,New York City FC,25,6',170,USA,Active,TTaylor777
6,M,Tony Tchani,Columbus Crew SC,25,6' 4",185,Cameroon,Active,TonyTchani23
31,M,Russell Teibert,Vancouver Whitecaps FC,22,5' 8",150,Canada,Active,No Twitter
9,F,David Texeira,FC Dallas,23,6',179,Uruguay,Active,No Twitter
,D,Andy Thoma,Portland Timbers,21,5' 11",165,USA,Active,thoma___
22,M,Tommy Thompson,San Jose Earthquakes,19,5' 7",145,USA,Active,tomthom11
8,D,Chris Tierney,New England Revolution,29,6',170,USA,Active,ChrisTierney8
51,D,Maxim Tissot,Montreal Impact,22,5' 11",162,Canada,Active,No Twitter
25,D,Donny Toia,Montreal Impact,22,5' 8",160,USA,Active,No Twitter
70,GK,Paolo Tornaghi,Vancouver Whitecaps FC,26,6' 2",165,Italy,Active,PaulTornaghi
10,F,Gabriel Torres,Colorado Rapids,26,5' 11",165,Panama,Active,No Twitter
20,M,Wil Trapp,Columbus Crew SC,22,5' 8",150,USA,Active,wil_trapp
12,M/F,Schillo Tshuma,Portland Timbers,22,5' 10",162,Zimbabwe,Active,schilloT17
2,D,Tyler Turner,Orlando City SC,18,5' 11",155,USA,Active,No Twitter
18,F,Kris Tyrpak,San Jose Earthquakes,22,5' 11",145,USA,Active,KrisTyrpak
8,M,Victor Ulloa,FC Dallas,22,5' 11",165,USA,Active,ulloa_victor
37,M,Maximiliano Urruti,Portland Timbers,23,6',165,Argentina,Active,No Twitter
8,M,Diego Valeri,Portland Timbers,28,5' 10",165,Argentina,Active,No Twitter
26,M,Sebastian Velasquez,New York City FC,24,5' 7",155,Colombia,Active,TiaN_Futbol
7,F,David Villa,New York City FC,33,5' 9",148,Spain,Active,No Twitter
19,D/M,Jorge Villafaña,Portland Timbers,25,5' 9",150,USA,Active,jvillafana19
5,M,Jose Villarreal,LA Galaxy,21,5' 8",160,USA,Active,jayy_villa
23,D,Steven Vitoria,Philadelphia Union,28,6' 5",190,Canada,Active,No Twitter
2,D,Tyson Wahl,Columbus Crew SC,30,6' 2",185,USA,Active,No Twitter
34,M,Kenney Walker,LA Galaxy,26,5' 9",175,USA,Active,No Twitter
,M,Matt Walker,,22,5' 6",150,USA,Active,No Twitter
22,D/M,Rodney Wallace,Portland Timbers,26,6',155,Costa Rica,Active,rodwallace22
26,M,Collen Warner,Toronto FC,26,5' 10",178,USA,Active,No Twitter
4,D,Kendall Waston,Vancouver Whitecaps FC,27,6' 5",195,Costa Rica,Active,kwaston88
27,M,Je-Vaughn Watson,FC Dallas,31,6' 1",175,Jamaica,Active,No Twitter
8,M,Matt Watson,Chicago Fire,30,6',180,England,Active,mattwatson8
,D,Kwame Watson-Siriboe,New York City FC,28,6' 3",196,USA,Active,Kwamekazi
33,M,Jared Watts,Colorado Rapids,23,6' 1",155,USA,Active,JaredWatts02
,F,Cam Weaver,,31,6' 4",195,USA,Active,CamWeaver23
33,GK,Andrew Weber,Portland Timbers,31,6' 2",190,USA,Active,AWEBS13
11,F,Andrew Wenger,Philadelphia Union,24,6',185,USA,Active,andrewwenger
15,D,Ethan White,Philadelphia Union,24,6',183,USA,Active,EthanWhite15
25,D,Sheanon Williams,Philadelphia Union,24,5' 11",170,USA,Active,sheanonwilliams
,D,Josh Williams,New York City FC,26,6' 2",192,USA,Active,josh3williams
17,F,Romario Williams,Montreal Impact,20,5' 11",170,,Active,No Twitter
31,GK,Joe Willis,Houston Dynamo,26,6' 5",189,USA,Active,No Twitter
,D,Chris Wingert,New York City FC,32,5' 11",165,USA,Active,wingert17
8,F,Chris Wondolowski,San Jose Earthquakes,32,6',165,USA,Active,ChrisWondo
99,F,Bradley Wright-Phillips,New York Red Bulls,29,5' 8",155,England,Active,TheRealBWP
4,D,Marvell Wynne,San Jose Earthquakes,28,5' 9",180,USA,Active,No Twitter
11,F,Gyasi Zardes,LA Galaxy,23,6' 2",175,USA,Active,gyasinho
15,D,Eriq Zavaleta,Toronto FC,22,6' 1",185,USA,Active,_AIR_RIQ_
14,M,Ben Zemanski,Portland Timbers,26,5' 11",150,USA,Active,zmnsk21
29,M,Alex Zendejas,FC Dallas,17,5' 7",145,USA,Active,AlexZendejas8
25,D,Walker Zimmerman,FC Dallas,21,6' 3",185,USA,Active,thewalkerzim
15,M,Sal Zizzo,New York Red Bulls,27,5' 10",165,USA,Active,SalZizzo
,D,Ronald Zubar,New York Red Bulls,29,6' 2",175,Guadeloupe,Active,No Twitter
8,M,Graham Zusi,Sporting Kansas City,28,5' 10",160,USA,Active,gzusi
,D,Braian  Acuña,,22,5' 8",155,Argentina,Inactive,@ToroACU_
13,D,José Manuel  Rojas,Chile,31,5' 9",170,Chile,Inactive,No Twitter
13,D,Joël  Veltman,Netherlands,23,6',,Netherlands,Inactive,No Twitter
8,D,Eddie Ababio,,27,5' 11",175,Ghana,Inactive,EddieAbabio
,GK,Michael Abalos,,25,6' 3",185,United States,Inactive,No Twitter
7,D,Ignazio Abate,Italy,28,5' 11",161,Italy,Inactive,No Twitter
26,M,Aminu Abdallah,,21,6' 3",170,Ghana,Inactive,No Twitter
10,F,Vincent Aboubakar,Cameroon,23,5' 10",172,Cameroon,Inactive,No Twitter
3,D,Miguel Aceval,,32,6',200,Chile,Inactive,No Twitter
21,D,Gabriel Achilier,Ecuador,29,5' 11",183,Ecuador,Inactive,No Twitter
2,D,Johnny Acosta,Costa Rica,31,5' 10",170,Costa Rica,Inactive,No Twitter
6,M,Afriyie Acquah,Ghana,23,5' 10",154,Ghana,Inactive,No Twitter
1,GK,Stephen Adams,Ghana,25,6' 1",179,Ghana,Inactive,No Twitter
,M,Andy Adlard,,26,5' 9",150,USA,Inactive,No Twitter
14,M,Albert Adomah,Ghana,27,6' 1",161,England,Inactive,No Twitter
,M/F,Freddy Adu,,25,5' 8",140,Ghana,Inactive,FreddyAdu
23,D/M,Harrison Afful,Ghana,28,5' 6",127,Ghana,Inactive,No Twitter
21,GK,Chigozie Agbim,Nigeria,30,6' 1",,Nigeria,Inactive,No Twitter
,D,Gale Agbossoumonde,,23,6' 1",206,USA,Inactive,galecuse17
14,F,Artur Aghasyan,,27,5' 8",167,Armenia,Inactive,No Twitter
12,D,Jeff Agoos,,46,5' 10",175,Switzerland,Inactive,No Twitter
13,F,Chris Agorsor,,24,5' 9",145,USA,Inactive,No Twitter
20,F,Sergio Agüero,Argentina,26,5' 8",154,Argentina,Inactive,No Twitter
,M,Antonio Aguilar,,23,5' 7",140,USA,Inactive,No Twitter
22,D,Paul Aguilar,Mexico,28,5' 10",143,Mexico,Inactive,No Twitter
8,M,Abel Aguilar,Colombia,30,6' 1",181,Colombia,Inactive,No Twitter
,F,Miguel Aguilar,,21,5' 9",172,Mexico,Inactive,No Twitter
8,M,Emmanuel Agyemang Badu,Ghana,24,6',170,Ghana,Inactive,No Twitter
1,GK,Rahman Ahmadi,Iran,34,6',,Iran,Inactive,No Twitter
3,D,Korede Aiyegbusi,,26,5' 5",155,England,Inactive,No Twitter
1,GK,Igor Akinfeev,Russia,28,6' 1",172,Russia,Inactive,No Twitter
50,D,Mouloud Akloul,,31,6' 2",185,France,Inactive,No Twitter
7,D/M,Jean-Daniel Akpa-Akpro,Ivory Coast,22,5' 11",150,France,Inactive,No Twitter
,F,Andre Akpan,,27,6' 1",190,USA,Inactive,auakpan
19,M,Jaime Alas,,25,5' 8",150,El Salvador,Inactive,No Twitter
,M,Latif Alashe,,23,6' 2",190,,Inactive,No Twitter
18,D,Jordi Alba,Spain,25,5' 8",152,Spain,Inactive,No Twitter
2,D,Raúl Albiol,Spain,29,6' 3",181,Spain,Inactive,No Twitter
3,D,Miiko Albornoz,Chile,24,5' 11",176,Sweden,Inactive,No Twitter
3,D,Chris Albright,,36,6' 1",180,USA,Inactive,@ChrisAlbright03
,M,Bryce Alderson,,21,5' 10",170,Canada,Inactive,AldersonBryce
2,D,Toby Alderweireld,Belgium,25,6' 1",165,Belgium,Inactive,No Twitter
17,D,Ahmad Alenemeh,Iran,32,6' 1",,Iran,Inactive,No Twitter
14,M,Jean-Marc Alexandre,,28,5' 11",190,Haiti,Inactive,No Twitter
,M,Kalif Alhassan,,24,5' 10",160,Ghana,Inactive,No Twitter
,D,RJ Allen,,24,5' 11",165,,Inactive,No Twitter
9,F,Hugo Almeida,Portugal,30,6' 3",174,Portugal,Inactive,No Twitter
19,D,Andre Almeida,Portugal,24,6' 1",187,Portugal,Inactive,No Twitter
14,M,Xabi Alonso,Spain,33,6',174,Spain,Inactive,No Twitter
,M,Jose Altamirano,,23,5' 7",135,USA,Inactive,No Twitter
17,F,Jozy Altidore,USA,25,6',159,USA,Inactive,No Twitter
33,D,Sean Alvarado,,27,6' 3",,USA,Inactive,Sean_Alvarado
,M/F,Arturo Alvarez,,29,5' 9",170,USA,Inactive,artieart10
10,M,Yordany Álvarez,,29,5' 10",165,Cuba,Inactive,AlvarezYordany
,F,Max Alvarez,,23,5' 10",155,,Inactive,No Twitter
,M,Carlos Alvarez,,24,5' 10",160,USA,Inactive,No Twitter
19,M,Ricardo Álvarez,Argentina,26,6' 2",185,Argentina,Inactive,No Twitter
16,D,Éder Álvarez,Colombia,21,5' 11",185,Colombia,Inactive,No Twitter
2,D,Dani Alves,Brazil,31,5' 8",141,Brazil,Inactive,No Twitter
2,D,Bruno Alves,Portugal,33,6' 2",183,Portugal,Inactive,No Twitter
,F,Abdul Aman,,25,5' 11",,,Inactive,No Twitter
5,D,Efe Ambrose,Nigeria,26,6' 3",154,Nigeria,Inactive,No Twitter
23,F,Shola Ameobi,Nigeria,33,6' 2",168,Nigeria,Inactive,No Twitter
,F,Darren Amoo,,24,5' 10",165,Ghana,Inactive,No Twitter
20,M,Rúben Amorim,Portugal,30,6',159,Portugal,Inactive,No Twitter
23,M,Anthony Ampaipitakwong,,26,5' 8",160,USA,Inactive,AnthonyAmpai
,F,Juan Luis Anangonó,,25,6' 1",170,Ecuador,Inactive,No Twitter
16,F,Don Anding,,23,5' 11",,USA,Inactive,No Twitter
28,M,André Luiz,,41,6',174,Brazil,Inactive,No Twitter
21,GK,Mariano Andújar,Argentina,31,6' 4",194,Argentina,Inactive,No Twitter
9,F,Juan Pablo Ángel,,39,6' 1",170,Colombia,Inactive,JUANPABLOANGEL
28,GK,Scott Angevine,,25,6' 1",185,USA,Inactive,scottangevine
,M,Rene Anguiano,,27,6',175,United States,Inactive,No Twitter
99,F,Jose Angulo,,27,5' 11",180,Colombia,Inactive,No Twitter
10,F,Karim Ansarifard,Iran,24,5' 11",170,Iran,Inactive,No Twitter
,D,Stefan Antonijevic,,26,6' 6",185,,Inactive,No Twitter
22,M,Daniel Antunez,,29,6',180,USA,Inactive,No Twitter
14,M,Toshihiro Aoyama,Japan,28,5' 9",161,Japan,Inactive,No Twitter
,D,Onyekachi Apam,,28,5' 9",185,Nigeria,Inactive,No Twitter
14,M,Alberto Aquilani,Italy,30,6' 1",170,Italy,Inactive,No Twitter
20,M,Javier Aquino,Mexico,25,5' 6",129,Mexico,Inactive,No Twitter
20,M,Charles Aránguiz,Chile,25,5' 8",154,Chile,Inactive,No Twitter
14,D/M,Victor Arbelaez,,32,5' 11",170,USA,Inactive,No Twitter
,M,Juan Arbelaez,,24,5' 8",145,Colombia,Inactive,No Twitter
,D,Anthony Arena,,24,5' 11",170,USA,Inactive,Anthonyarena3
27,M,Bryan Arguez,,26,6' 2",185,USA,Inactive,bryan_arguez17
30,G,Sergio Arias,,26,6' 3",180,Mexico,Inactive,No Twitter
4,D,Santiago Arias,Colombia,23,5' 9",150,Colombia,Inactive,No Twitter
7,D,Pablo Armero,Colombia,28,5' 9",179,Colombia,Inactive,No Twitter
,M,Davy Armstrong,,23,5' 10",150,USA,Inactive,No Twitter
,M,Tyler Arnone,,23,5' 10",165,,Inactive,Tarnone7
27,M,Cody Arnoux,,26,5' 10",170,USA,Inactive,codyarnoux
,M,Eder Arreola,,23,5' 7",150,,Inactive,No Twitter
15,M,Michael Arroyo,Ecuador,27,5' 10",159,Ecuador,Inactive,No Twitter
27,F,Jhonny Arteaga,,28,5' 11",175,Colombia,Inactive,jhonnyaarteaga
20,M/D,Kwadwo Asamoah,Ghana,26,5' 10",172,Ghana,Inactive,No Twitter
,F,Philip Aseweh,,24,5' 10",155,,Inactive,No Twitter
2,D,Benoit Assou-Ekoto,Cameroon,30,5' 10",154,France,Inactive,No Twitter
30,F,Yazid Atouba,,22,5' 6",150,Cameroon,Inactive,No Twitter
7,M,Christian Atsu,Ghana,23,5' 8",150,Ghana,Inactive,No Twitter
,D,Nana Attakora,,25,6' 1",185,Canada,Inactive,No Twitter
16,M,Michael Augustine,,22,5' 10",160,Nigeria,Inactive,No Twitter
12,M,Raphael Augusto,,23,5' 11",170,Brazil,Inactive,No Twitter
17,D/M,Serge Aurier,Ivory Coast,22,5' 9",168,Ivory Coast,Inactive,No Twitter
25,M,Stéphane Auvray,,33,5' 8",150,Guadeloupe,Inactive,No Twitter
22,GK,Asmir Avdukić,Bosnia-Herzegovina,33,6' 3",,Bosnia and Herzegovina,Inactive,No Twitter
10,M,Andre Ayew,Ghana,25,5' 9",159,France,Inactive,No Twitter
13,F,Jordan Ayew,Ghana,23,6',176,France,Inactive,No Twitter
10,M/D,Walter Ayoví,Ecuador,35,5' 8",150,Ecuador,Inactive,No Twitter
17,F,Jaime Ayoví,Ecuador,26,6',179,Ecuador,Inactive,No Twitter
15,M,Ramon Azeez,Nigeria,22,5' 6",148,Nigeria,Inactive,No Twitter
22,D,César Azpilicueta,Spain,25,5' 10",154,Spain,Inactive,No Twitter
18,M,Michael Babatunde,Nigeria,22,5' 10",168,Nigeria,Inactive,No Twitter
30,M,Rafael Baca,,25,5' 9",160,Mexico,Inactive,mexicanraf
17,F,Carlos Bacca,Colombia,28,5' 10",168,Colombia,Inactive,No Twitter
,F,Dominique Badji,,22,6',170,Senegal,Inactive,dbadji14
18,D,Óscar Bagüí,Ecuador,32,5' 8",143,Ecuador,Inactive,No Twitter
,M,Kingsley Baiden,,23,5' 7",151,Ghana,Inactive,fifi5baiden
3,D,Leighton Baines,England,30,5' 7",154,England,Inactive,No Twitter
13,F,Bradlee Baladez,,23,6' 1",186,USA,Inactive,B_Baladez13
17,D,Marcelo Balboa,,47,6' 1",175,USA,Inactive,No Twitter
,D,Rich Balchan,,26,6',165,USA,Inactive,RichBalchan
,M,Lucas Baldin,,23,5' 9",150,Brazil,Inactive,No Twitter
3,D,Oumar Ballo,,23,6' 2",190,Mali,Inactive,OumarBallo
9,F,Mario Balotelli,Italy,24,6' 2",194,Italy,Inactive,No Twitter
22,D,Sol Bamba,Ivory Coast,30,6' 3",198,France,Inactive,No Twitter
1,GK,Máximo Banguera,Ecuador,28,6' 2",192,Ecuador,Inactive,No Twitter
,F,Kay Banjo,,22,6',186,USA,Inactive,swagggy_kay
7,D/M,Mike Banner,,30,5' 10",160,USA,Inactive,mikeylike
,F,Jason Banton,,22,,,England,Inactive,No Twitter
8,F,Etienne Barbara,,32,6',190,Malta,Inactive,No Twitter
21,M,Ross Barkley,England,21,6' 2",,England,Inactive,No Twitter
,M,Zach Barnes,,22,5' 10",160,USA,Inactive,_ZachBarnes_
7,M,Tranquillo Barnetta,Switzerland,29,5' 10",154,Switzerland,Inactive,No Twitter
,M/F,Domenic Barone,,25,5' 11",,,Inactive,No Twitter
15,F,Orr Barouch,,23,6' 2",190,Israel,Inactive,No Twitter
11,M,Michael Barrantes,Costa Rica,31,5' 10",156,Costa Rica,Inactive,No Twitter
